Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
Let it Rock	Vivienne Westwood	2007	NA	7.4	134	Spicy, Oriental, Floral, Woody, Sweet	Bergamot, Freesia, Mandarin orange	Jasmine	Patchouli, Amber	Marie Salamagne
Let The Good Times Roll	Lush / Cosmetics To Go	2019	NA	7.4	76	Sweet, Gourmand, Creamy, Synthetic, Smoky	NA	NA	NA	NA
Let's Move Man	Benetton	2007	NA	7.2	263	Woody, Sweet, Floral, Powdery, Spicy	Jasmine, Lily, Magnolia, Ylang-ylang	Amber, Swamp	Honey, Sandalwood, Black pepper, Mandarin orange nectar	Annie Buzantian
Let's Settle This Argument Like Adults, In The Bedroom, Naked	Kilian	2018	NA	7.1	95	Sweet, Creamy, Woody, Synthetic, Fruity	NA	NA	NA	Pascal Gaurin
Lettre de Pushkar Ella K Parfums 2017 Eau de Parfum	Ella K Parfums	2017	Eau de Parfum	8.2	113	Sweet, Spicy, Oriental, Woody, Floral	Saffron, Cinnamon, Nutmeg	Rose, Cypriol, Orange blossom	Vanilla, Patchouli, Vetiver, Musk	Sonia Constant
Levant Ormonde Jayne 2020 Eau de Parfum	Ormonde Jayne	2020	Eau de Parfum	7.7	123	Floral, Fresh, Citrus, Fruity, Sweet	Minneola tangelo, Mandarin orange, Rose, Bergamot	Jasmine, Lily of the valley, Orange blossom, Peony	Musk, Amber, Cedarwood	NA
Levante Nobile 1942 2017 Eau de Parfum	Nobile 1942	2017	Eau de Parfum	7.3	76	Sweet, Aquatic, Creamy, Gourmand, Floral	Marine notes, White blossoms	Cedar, Sandalwood, Patchouli	Caramel, Vanilla, Benzoin, White musk	Marie Duchêne
Levantium	Penhaligon's	2014	NA	7.7	92	Spicy, Woody, Oriental, Resinous, Floral	Saffron, Davana, Vermouth, Bergamot	Cardamom, Clove, Rose, Jasmine, Peach, Violet, Ylang-ylang	Oud, Amber, Myrrh, Sandalwood, Cedar, Gaiac wood, Maltol, Patchouli, Vanilla, Musk	Christian Provenzano
Levar del Sole	XerJoff	2024	NA	7.2	95	Sweet, Floral, Spicy, Fruity, Creamy	Apple, Orange, Green notes, Indian rose, Lemon, Bergamot	Cardamom, Lily, Violet, Jasmine	Caramel, Benzoin, Musk, Patchouli, Tonka bean, Oakmoss	NA
Lexington Avenue	Bond No. 9	2008	NA	7.8	55	Gourmand, Oriental, Sweet, Spicy, Woody	NA	NA	NA	Claude Dir
