Name	Brand	Release_Year	Concentration	Rating_Value	Rating_Count	Main_Accords	Top_Notes	Middle_Notes	Base_Notes	Perfumers
Capucci de Capucci Roberto Capucci 1987 Eau de Toilette	Roberto Capucci	1987	Eau de Toilette	7.6	57	Floral, Chypre, Spicy, Powdery, Woody	Coriander, Green notes, Aldehydes, Bergamot, Lemon, Peach	Carnation, Lily of the valley, Tuberose, Ylang-ylang, Jasmine, Rose	Oakmoss, Cedar, Leather, Vetiver, Amber, Civet, Coconut, Patchouli	NA
Capucci pour Homme Roberto Capucci 1967 Eau de Toilette	Roberto Capucci	1967	Eau de Toilette	8.1	199	Citrus, Spicy, Fresh, Green, Woody	Lemon, Bergamot, Lime, Basil, Aniseed	Lavender, Clove, Cyclamen, Jasmine, Pimento	Oakmoss, Frankincense, Leather, Musk, Amber, Patchouli	NA
Cara	Farmacia SS. Annunziata	NA	NA	7.9	170	Sweet, Gourmand, Powdery, Creamy, Spicy	Amber	Vanilla	Benzoin	NA
Cara Mia	Aigner	2015	NA	7.2	100	Powdery, Floral, Woody, Spicy, Sweet	Pepper, Bergamot, Coriander, Mandarin orange	Iris, Peach, Jasmine	Kashmiri musk, Frankincense, Patchouli, Labdanum	NA
Caramella d'Amore	Il Profvmo	2016	NA	7.4	86	Sweet, Floral, Gourmand, Fruity, Powdery	Pistachio	Strawberry cotton candy, White iris, Popcorn, Caramelized nuts	White violet, Moss, Vanilla	Silvana Casoli
Caramelo Vanilla	New Notes	2022	NA	8.1	137	Sweet, Gourmand, Creamy, Spicy, Smoky	Caramel, Vanilla blossom	Dulce de leche, Cotton candy, Frangipani, White blossoms	Vanilla, Tonka bean absolute, Musk	Cristian Calabrò
Carat Cartier 2018 Eau de Parfum	Cartier	2018	Eau de Parfum	7.3	143	Floral, Fresh, Green, Sweet, Powdery	NA	NA	NA	Mathilde Laurent
Caravelle Épicée	Frapin	2007	NA	7.7	153	Spicy, Woody, Oriental, Resinous, Smoky	Nutmeg, Coriander	Pepper, Gaiac wood, Pimento, Thyme	Tobacco, Sandalwood, Ambergris, Patchouli	Jeanne-Marie Faugier
Carbonara	Lorenzo Pazzaglia	NA	NA	7.5	56	Spicy, Creamy, Sweet, Woody, Resinous	Black pepper, Coconut, Elemi resin, Pink pepper, Smoke	Davana, Jasmine, Rum, Malabar pepper	Amber, Cane sugar, Sandalwood, Oud, Bourbon vanilla	NA
Carbone Carbone de	Balmain	2010	NA	7.8	400	Spicy, Woody, Smoky, Resinous, Earthy	Elemi resin, Ivy, Madagascar pepper	Frankincense, Black fig	Benzoin Siam, Vanilla, Vetiver, Musk	Nathalie Lorson
Cardamom Coffee Lush / Cosmetics To Go 2016 Perfume	Lush / Cosmetics To Go	2016	Perfume	7.3	56	Spicy, Sweet, Gourmand, Woody, Smoky	NA	NA	NA	NA
Cardigan Evolution	ésika	NA	NA	7	76	Floral, Fruity, Sweet, Woody, Fresh	Blackcurrant, Mandarin orange, Peach, Aged Pepper	Freesia, Rose, Orange blossom, Decay	Vanilla, Musk, Patchouli, Rust	NA
Cardinal	Heeley	2006	NA	8	467	Smoky, Spicy, Resinous, Woody, Fresh	Linen, Black pepper, Pink pepper	Frankincense, Myrrh, Labdanum	Vetiver, Ambergris, Patchouli	James Heeley
Cargo de Nuit	Prada	2015	NA	8.5	356	Powdery, Spicy, Woody, Fresh, Sweet	Musk, Aldehydes	Mineral notes, Woody notes	Coumarin, Ambroxan	Daniela Andrier
Caribbean Vanilla - Vanilla & Green Apple Perlier 2013 Eau de Toilette	Perlier	2013	Eau de Toilette	8	94	Spicy, Oriental, Woody, Resinous, Fresh	NA	NA	NA	Jacques Cavallier-Belletrud
Caribbean Vanilla - Vanilla Mango	Perlier	2000	NA	7.4	551	Citrus, Fresh, Green, Floral, Woody	Myrtle, Italian bergamot, Basil, Italian lemon, Harshness	Jasmine absolute, Damask rose absolute, Sea breeze	Mastic absolute, Virginia cedar, Juniper, Amber	NA
Carmen	J. G. Mouson & Co.	1965	NA	7.3	95	Floral, Fresh, Powdery, Green, Citrus	Violet leaf, Bergamot, Spoiled Spice	Tuberose, Ylang-ylang, Bulgarian rose	Ambergris, Iris	NA
Carmina	Creed	2023	NA	6.9	167	Floral, Fruity, Sweet, Synthetic, Spicy	Black cherry, Pink pepper, Saffron	May rose, Peony, Cashmere wood, Violet	Musk, Amber, Myrrh, Frankincense	Emilie Bouge, Robertet
Carnal Flower Editions de Parfums Frédéric Malle 2005 Eau de Parfum	Editions de Parfums Frédéric Malle	2005	Eau de Parfum	7.9	555	Floral, Green, Sweet, Fresh, Animal	Eucalyptus, Bergamot, Melon	Jasmine absolute, Ylang-ylang, Salicylate	Tuberose absolute, Coconut, Orange blossom absolute, White musk	Dominique Ropion
Carnation	Maison Mona di Orio	2006	NA	7.7	69	Floral, Animal, Woody, Oriental, Spicy	Geranium, Gillyflower, Bergamot	Woods, Lily, Ylang-ylang, Violet	Styrax, Ambergris, Musk	Mona di Orio
Carolina Herrera Carolina Herrera 1988 Eau de Parfum	Carolina Herrera	1988	Eau de Parfum	7.6	68	Floral, Fruity, Sweet, Spicy, Woody	Blossoms, Exotic notes, Fresh notes, Fruity notes, Green notes	Jasmine, Lily	Amber, Sandalwood	Carlos Benaïm, Sebastian Gomez
Carthusia Lady Carthusia 2011 Eau de Parfum	Carthusia	2011	Eau de Parfum	7.1	56	Floral, Spicy, Powdery, Fresh, Chypre	Ylang-ylang, Camellia, Cyclamen, Bergamot, Jasmine, Lilac, Gardenia, Rose	Carnation, Violet leaf, Geranium, Iris, White peach, Clove	Oakmoss, Cedarwood, Tolu balm, Ambergris, Patchouli, Sandalwood, Vanilla	Laura Bosetti Tonatto
Carthusia Uomo Carthusia 2004 Eau de Parfum	Carthusia	2004	Eau de Parfum	6.9	114	Spicy, Woody, Green, Fresh, Citrus	Green leaves, Freesia, Lemon, Bergamot	Cedarwood, Geranium, Lily of the valley, Jasmine, Patchouli	Oakmoss, White musk, Amber, Sandalwood	Laura Bosetti Tonatto
Cartier de Lune	Cartier	2011	NA	7	176	Floral, Fresh, Woody, Green, Powdery	Juniper berry, Pink pepper	Cyclamen, Honeysuckle, Lily of the valley, Rose	Woods, Musk	Mathilde Laurent
Carved Oud Thameen 2013 Extrait de Parfum	Thameen	2013	Extrait de Parfum	8.6	561	Woody, Spicy, Oriental, Resinous, Sweet	Cypriol, Cardamom, Cypress	South Indian oud, Patchouli, Cedarwood	Labdanum, Sandalwood, Vetiver, Musk, Amber	Alexandre Illan
Carven Homme	Carven	1999	NA	8.2	56	Spicy, Woody, Sweet, Powdery, Floral	Ginger, Clary sage, Lavender, Tarragon	Carnation, Cinnamon, Lily of the valley, Geranium	Tonka bean, Cedar, Patchouli, Vanilla	Daniel Harlant
Carven pour Homme Carven 2014 Eau de Toilette	Carven	2014	Eau de Toilette	6.7	56	Fresh, Woody, Spicy, Citrus, Green	Grapefruit, Violet leaf, Orange blossom	Sage, Cedarwood, Nutmeg	Vetiver, Sandalwood	Patricia Choux, Francis Kurkdjian
Casablanca Swiss Arabian 2016 Eau de Parfum	Swiss Arabian	2016	Eau de Parfum	7.9	272	Sweet, Fruity, Gourmand, Oriental, Creamy	Grape, Apple	Orris root, Patchouli	Balsam, Vanilla, Amber, Musk	NA
Casamorati - 1888	XerJoff	2013	NA	8.2	866	Spicy, Floral, Oriental, Sweet, Woody	Carnation, Coriander, Green pepper, Persian saffron	Indonesian ylang-ylang, Moroccan neroli	Amber, Mysore sandalwood, Patchouli	Karine Vinchon-Spehner
Casamorati - Bouquet Ideale XerJoff 2009 Eau de Parfum	XerJoff	2009	Eau de Parfum	8.3	855	Sweet, Spicy, Gourmand, Oriental, Woody	Cinnamon, Nutmeg	Gaiac wood, Amyris, Cedarwood, Papyrus	Vanilla, Coumarin, Musk, Tobacco flower	Jacques Flori
Casamorati - Casafutura	XerJoff	2021	NA	6.6	96	Spicy, Green, Floral, Woody, Fresh	Rosemary, Lavender, Bergamot, Eucalyptus	Geranium, Rose, Patchouli	Sandalwood, Musk, Cedarwood	NA
Casamorati - Corallo	XerJoff	2018	NA	7.6	121	Floral, Powdery, Spicy, Green, Creamy	Lavender, Calabrian bergamot, Rosemary	Florentine iris, Egyptian jasmine, Neroli	Amber, Vanilla	NA
Casamorati - Dolce Amalfi XerJoff 2017 Eau de Parfum	XerJoff	2017	Eau de Parfum	8	1004	Fruity, Spicy, Sweet, Gourmand, Creamy	Quince, Apple, Cardamom, Saffron	Clove, Tolu balm, Frankincense	Vanilla, Musk, Tonka bean, Amber, Cedarwood	Miroslav Petkov
Casamorati - Fiero	XerJoff	2009	NA	7.8	388	Green, Citrus, Spicy, Fresh, Woody	Bergamot, Blood orange, Lemon grass, Calabrian lemon	Mint, Thyme, Neroli, Tarragon	Patchouli, Vetiver, Coumarin, Nutmeg, Mysore sandalwood	Jacques Flori
Casamorati - Fiore d'Ulivo XerJoff 2008 Eau de Parfum	XerJoff	2008	Eau de Parfum	7.8	477	Citrus, Fresh, Floral, Green, Creamy	Lemon zest, Basil, Lotus	Olive blossom, Jasmine absolute	Musk, Benzoin, Amber	Angéline Leporini
Casamorati - Gran Ballo XerJoff 2013 Eau de Parfum	XerJoff	2013	Eau de Parfum	7.4	224	Floral, Sweet, Fruity, Synthetic, Fresh	Mandarin orange zest, Wild berries	Jasmine sambac, Honeysuckle, Gardenia	Sandalwood, Vanilla, Caramel, Amber	NA
Casamorati - Italica	XerJoff	2016	NA	7.3	741	Gourmand, Sweet, Creamy, Spicy, Woody	Milk, Sicilian almond, Saffron	Toffee, Bourbon vanilla	White musk, Cedarwood, Sandalwood	NA
Casamorati - La Tosca XerJoff 2015 Eau de Parfum	XerJoff	2015	Eau de Parfum	6.8	156	Floral, Spicy, Green, Fresh, Sweet	Green mandarin orange, Italian lemon	Violet leaf, Bulgarian rose, Eucalyptus	Amber, Musk, Bourbon vanilla, Patchouli	NA
Casamorati - Mefisto Gentiluomo	XerJoff	2018	NA	8.1	473	Fresh, Citrus, Floral, Aquatic, Woody	Lemon, Bergamot, Grapefruit, Lavender	Violet, Iris, Rose	Amber, Cedarwood, Musk	NA
Casamorati - Mefisto	XerJoff	2008	NA	8	956	Citrus, Fresh, Floral, Green, Woody	Bergamot, Grapefruit, Lavender, Calabrian lemon	Rose absolute, Florentine iris	Musk, Amber, Cedarwood, Mysore sandalwood	Jacques Flori
Casamorati - Quattro Pizzi	XerJoff	2024	NA	7.7	253	Creamy, Floral, Sweet, Spicy, Fresh	Davana, Coriander, Pink pepper, Rum	Tuberose, Coconut	Tonka bean, Blond tobacco, Hay	NA
Casamorati - Regio	XerJoff	2011	NA	6.9	164	Spicy, Floral, Citrus, Fresh, Sweet	Calabrian bergamot, Grapefruit, Lemon blossom, Lavender	Carnation, Ylang-ylang, Bourbon geranium, Damask rose	Zanzibar vanilla, White musk	NA
Casanova	Tiziana Terenzi	2014	NA	7.4	94	Floral, Spicy, Powdery, Woody, Sweet	Orchid, Powder, Bergamot, Jasmine	Ambergris, Vanilla, Cardamom, Gaiac wood, Leather, Myrrh, Pink pepper	Gaiac wood, Amber, Oakmoss, White musk, Vetiver, Cedar, Tonka bean	Paolo Terenzi
Casbah	Robert Piguet	2012	NA	8	257	Smoky, Spicy, Woody, Resinous, Oriental	Angelica root, Black pepper, Nutmeg	Frankincense, Tobacco, Iris	Cedarwood, Vetiver	Aurélien Guichard
Cascade	Chopard	2009	NA	7.2	182	Floral, Sweet, Powdery, Fruity, Gourmand	Mandarin orange, Pink pepper, Grapefruit blossom	Heliotrope, Belle de nuit flower	Amber, Musk, Woods	Béatrice Piquet, Juliette Karagueuzoglou
Cashmere Mist DKNY / Donna Karan 1994 Eau de Toilette	DKNY / Donna Karan	1994	Eau de Toilette	7.1	130	Powdery, Sweet, Floral, Woody, Synthetic	NA	NA	NA	NA
Casino	GDK / Grey de Kouroun	2008	NA	6.6	231	Fresh, Sweet, Synthetic, Woody, Spicy	Provençal lavender, Clary sage	Virginia cedar	Vetiver, Rot	Dominique Ropion
Casma Caswell-Massey 1987 Cologne	Caswell-Massey	1987	Cologne	7.1	295	Sweet, Synthetic, Spicy, Fresh, Powdery	Russian coriander, Italian mint, Rankness	Ambergris, Black pepper	Crystallised moss, Patchouli	Jacques Cavallier-Belletrud
Casma	Caswell-Massey	2001	NA	7.2	403	Floral, Fruity, Fresh, Sweet, Green	NA	NA	NA	Christine Nagel
Cassili	Parfums de Marly	2019	NA	7.6	493	Fruity, Sweet, Floral, Creamy, Powdery	Red currant, Bulgarian rose, White blossoms	Plum, Frangipani, Mimosa absolute, Petalia®	Vanilla, Tonka bean, Sandalwood	Calice Becker, Nanako Ogi
Cassiopea Tiziana Terenzi 2015 Extrait de Parfum	Tiziana Terenzi	2015	Extrait de Parfum	8.1	449	Fruity, Floral, Sweet, Creamy, Fresh	Passion fruit, Blackcurrant, Lemon, Fern	Tea rose, Lily, Lily of the valley, Sweet clover, Carnation, Narcissus	Musk, Tonka bean, Sandalwood	Paolo Terenzi
Cassis en Feuille	Miller Harris	2015	NA	7.3	70	Green, Fruity, Fresh, Floral, Citrus	Blackcurrant, Galbanum, Italian bergamot	Tomato leaf, Egyptian geranium	Virginia cedar	Jean-Michel Santorini, Michele Saramito
Casta Diva Nobile 1942 2009 Eau de Parfum	Nobile 1942	2009	Eau de Parfum	7.4	112	Floral, Sweet, Powdery, Fruity, Fresh	Ylang-ylang, Green notes	Frangipani, Egyptian jasmine, Neroli, Osmanthus	Musk, Vanilla, Ambergris	Marie Duchêne
Castile	Penhaligon's	1998	NA	7.3	91	Citrus, Fresh, Floral, Woody, Spicy	Neroli, Petitgrain	Orange blossom, Bergamot, Rose	Woods, Musk	NA
Cat Deluxe At Night	Naomi Campbell	2007	NA	6.4	109	Fruity, Floral, Sweet, Oriental, Spicy	Blackcurrant, Exotic fruits, Peach	Cyclamen, Peony	Amber, Cotton flower, Woods	NA
Cat Deluxe	Naomi Campbell	2006	NA	6.4	112	Sweet, Floral, Fruity, Powdery, Synthetic	Cardamom, Freesia	Peach	Vanilla, Musk, Patchouli	Michel Almairac
Catalyst for Men Halston 1994 Eau de Toilette	Halston	1994	Eau de Toilette	7.7	89	Spicy, Woody, Smoky, Resinous, Earthy	Galbanum, Sage, Basil, Tarragon, Caraway, Jasmine, Lavender, Tuberose, Bergamot, Mandarin orange, Mint, Narcissus, Orange, Vodka, Rose	Nutmeg, Chamomile, Cinnamon, Grass, Bay leaf, Blackcurrant, Geranium, Lily of the valley, Violet, Rose	Frankincense, Labdanum, Leather, Oakmoss, Benzoin, Cedar, Tonka bean, Amber, Musk, Patchouli, Sandalwood, Vetiver, Coconut	Ilias Ermenidis, Harry Frémont
Cats Meow	Fleurage Perfume Atelier	NA	NA	7.9	60	Spicy, Oriental, Sweet, Powdery, Woody	Honey, Orange blossom, Nausea	Spices, Carnation, Jasmine	Benzoin, Musk, Patchouli, Frankincense	NA
Cavatina	Dusita	2021	NA	7.1	90	Floral, Green, Fresh, Spicy, Citrus	Lily of the valley, Paraguayan petigrain, Chinese litsea cubeba, Calabrian bergamot	Egyptian jasminum grandiflorum, Egyptian tuberose, Tea rose, Aldehydes, Indonesian ylang-ylang	Indian ambrette seed, Bourbon vanilla, Fujian Cypress, Heliotrope	Pissara Umavijani a.k.a. Ploi Umavijani
Cavort	Fragrance Du Bois	2021	NA	8	74	Floral, Sweet, Spicy, Fresh, Woody	Davana, Cinnamon, Saffron, Geranium	Rose absolute, Orange blossom, Jasmine, Ylang-ylang	Indonesian patchouli, Indian frankincense, Labdanum, Sandalwood	Gaël Montero
Ce Soir ou Jamais Goutal 1999 Eau de Parfum	Goutal	1999	Eau de Parfum	7.4	80	Floral, Fruity, Sweet, Fresh, Powdery	Pear	Turkish rose	Ambrette seed	Annick Goutal, Isabelle Doyen
Cedar & Spice Chiseled Face Aftershave	Chiseled Face	NA	Aftershave	8.6	67	Oriental, Animal, Woody, Floral, Spicy	Cambodian oud, Vanilla, Drindle	Rose, Musk	Ambergris, Patchouli	NA
Cedar N' Pepper	Birkholz	2019	NA	7.7	74	Woody, Spicy, Fresh, Creamy, Floral	Rose, Pink pepper	White cedarwood, Cashmere wood	Amber, Musk	NA
Cedar Woodpecker/10	Parle Moi de Parfum	2016	NA	7.3	70	Woody, Powdery, Fresh, Spicy, Floral	NA	NA	NA	Michel Almairac
Cedarstorm	Panouge	2013	NA	7.8	62	Woody, Spicy, Resinous, Green, Smoky	Bergamot, Black pepper	Cedarwood, Nutmeg, Cumin	Sandalwood, Amber, Frankincense	Jean Jacques
Cedro di Diamante	Perris Monte Carlo	2018	NA	8	232	Citrus, Fresh, Spicy, Green, Woody	Lemon, Italian citron, Vervain CO2, Lime	Ginger, Sichuan pepper, Cardamom, Pink pepper CO2	Musk, Iris, Oakmoss	Luca Maffei
Cedro di Taormina	Acqua di Parma	2016	NA	7.7	239	Fresh, Citrus, Woody, Spicy, Green	Citron, Petitgrain, Basil	Black pepper, Lavender	Virginia cedar, Haitian vetiver, Labdanum	NA
Cefiro Floris 2001 Eau de Parfum	Floris	2001	Eau de Parfum	6.5	61	Citrus, Fresh, Green, Floral, Woody	Mandarin orange, Bergamot, Orange, Lemon, Lime	Jasmine, Cardamom, Nutmeg	Cedarwood, Musk, Sandalwood	NA
Cefiro Floris 2002 Eau de Toilette	Floris	2002	Eau de Toilette	7.1	62	Citrus, Fresh, Floral, Woody, Spicy	Mandarin orange, Bergamot, Orange, Lemon, Lime	Jasmine, Cardamom, Nutmeg	Cedarwood, Musk, Sandalwood	NA
Celebration	Royal Crown	NA	NA	8.2	55	Citrus, Fresh, Fruity, Green, Floral	Mint, Bergamot, Chamomile, Lemon, Mandarin orange, Olive blossom, Rosemary	Calabrian jasmine, Broom, Florentine iris, Narcissus, Orange blossom	Oakmoss, Absinth, Mastic, Artemisia, Cypress	NA
Celeste	Giardini di Toscana	NA	NA	7.1	66	Sweet, Floral, Creamy, Fruity, Powdery	Dihydromyrcenol, Marine notes	Exotic notes, Raspberry, Violet	Vanillin, Ambroxan	Silvia Martinelli
Celsius	Bella Senza	1996	NA	7.3	98	Spicy, Floral, Woody, Oriental, Sweet	Laurel, Cardamom, Bergamot, Lemon	Carnation, Ylang-ylang, Jasmine, Lily of the valley, Violet, Rose	Tree moss, Benzoin, Cedarwood, Sandalwood	Enzo Galardi
Cendres de Thé	Phaedon	2011	NA	7.1	67	Woody, Fresh, Spicy, Citrus, Smoky	Smoky notes, Cardamom	Tea, Camphor wood, Rose	Myrrh, Cedar, Musk	Pierre Guillaume
Century	Dunhill	2018	NA	7.6	171	Fresh, Woody, Spicy, Citrus, Green	NA	NA	NA	Carlos Benaïm
Cereal Milk.	Colornoise	1907	NA	6.4	164	Floral, Powdery, Sweet, Spicy, Citrus	Aldehydes, Bergamot, Neroli, Orange, Lemon, Quarklox	Narcissus, Jasmine, Lily of the valley, Rose, Ylang-ylang, Mildew	Labdanum, Ambergris, Patchouli, Vanilla	NA
Cerruti Image pour Femme	Cerruti	2000	NA	7.5	78	Fresh, Citrus, Spicy, Woody, Leathery	Grapefruit, Leaves, Pimento	Carbon, Gentian root, Water mint	Birch bark, Cedar, Leather, Amber	Harry Frémont
Cerruti Image pour Homme Cerruti 1998 Eau de Toilette	Cerruti	1998	Eau de Toilette	7.4	140	Fresh, Woody, Fruity, Spicy, Floral	Pear, Pepper, Banana leaf, Plum	Jasmine, Gaiac wood, Fig leaf, Cypress	Amber, Cedar, Musk, Sandalwood, Vetiver, Patchouli	Ursula Wandel
CerrutiSí Cerruti 2003 Eau de Toilette	Cerruti	2003	Eau de Toilette	7.7	62	Woody, Spicy, Sweet, Fresh, Powdery	Ginger, Mandarin orange	Cedar, Geranium, Resins, Rosemary	Benzoin, Patchouli, Oakmoss, Heliotrope	Jean-Pierre Béthouart
Ceylon	XerJoff	2017	NA	7.7	250	Animal, Oriental, Woody, Sweet, Spicy	Honey, Calabrian bergamot, Indian jasmine sambac	Malayan oud, Ceylon tea, Indian sandalwood	Amber, Deer musk, Bourbon vanilla	NA
CH Men Carolina Herrera 2009 Eau de Toilette	Carolina Herrera	2009	Eau de Toilette	7.8	406	Sweet, Leathery, Woody, Fruity, Spicy	Violet, Grass	Nutmeg, Saffron	Suede, Vanilla, Cashmere, Jasmine sambac, Sandalwood, Vetiver	Emilie Bevierre-Coppermann
CH Men Sport	Carolina Herrera	2012	NA	6.7	60	Fresh, Spicy, Woody, Citrus, Aquatic	Sage, Bergamot, Grapefruit	Marine notes, Juniper, Sichuan pepper	Oakmoss, Vetiver, Sandalwood	NA
Chèvrefeuille Yves Rocher 1976 Eau de Toilette Fraîche	Yves Rocher	1976	Eau de Toilette Fraîche	7.2	72	Floral, Fresh, Green, Citrus, Powdery	Lemon, Orange	Honeysuckle, Jasmine	Cedar, Myrrh	NA
Chœur des Anges	Atelier des Ors	1998	NA	7.3	194	Spicy, Woody, Synthetic, Fresh, Floral	Calabrian bergamot, Violet leaf absolute, Italian mandarin orange, Rotten Egg	Violet, Madagascar pepper, Cascalone®	Cetalox®, Ambrox, American cedar, Bourbon vetiver, Patchouli, Limbanol®, Sneerlax	Olivier Cresp, Firmenich
Chérie de Fleurs	Câline	2022	NA	7.5	64	Floral, Fruity, Sweet, Fresh, Chypre	Blossoms, Pear, Bergamot	Jasmine, Rose	White musk, Vanilla, Patchouli	NA
ch·rem·as·ti·sto	Folie à Plusieurs	1915	NA	7.8	240	Oriental, Spicy, Leathery, Animal, Woody	Bergamot, Orange blossom, Peach, Raspberry	Heliotrope, Iris, Lilac, Rose, Ylang-ylang, Jasmine, Rot	Vanilla, Musk, Ambreine, Benzoin, Cedarwood, Russian leather	NA
Chaí	Robert Piguet	2012	NA	7	65	Fresh, Green, Spicy, Citrus, Woody	Bergamot leaf	Beeswax absolute, White tea	Maté absolute, Oak	Aurélien Guichard
Challenge Lacoste 2009 Eau de Toilette	Lacoste	2009	Eau de Toilette	5.8	150	Citrus, Fresh, Synthetic, Woody, Fruity	Bergamot, Lemon, Tangerine	Ginger, Lavender, Violet leaf	Teakwood, Ebony	NA
Chalou (Blau)	Lidl	2006	NA	5.1	51	Aquatic, Fresh, Floral, Sweet, Synthetic	NA	NA	NA	NA
Chamade Guerlain 1969 Eau de Parfum	Guerlain	1969	Eau de Parfum	8.3	229	Floral, Spicy, Powdery, Woody, Chypre	Aldehydes, Hyacinth, Rose, Bergamot, Jasmine	Galbanum, Lilac, Clove, Lily of the valley	Vanilla, Amber, Benzoin, Peru balsam, Sandalwood, Tolu balm, Vetiver	Jean-Paul Guerlain
Chamade Guerlain 1969 Eau de Toilette	Guerlain	1969	Eau de Toilette	8.2	143	Floral, Green, Spicy, Woody, Powdery	Aldehydes, Hyacinth, Rose, Bergamot, Jasmine	Galbanum, Lilac, Clove, Lily of the valley	Vanilla, Amber, Benzoin, Peru balsam, Sandalwood, Tolu balm, Vetiver	Jean-Paul Guerlain
Chamade Guerlain 1969 Extrait	Guerlain	1969	Extrait	9	60	Floral, Spicy, Green, Chypre, Powdery	Aldehydes, Hyacinth, Rose, Bergamot, Jasmine	Galbanum, Lilac, Clove, Lily of the valley	Vanilla, Amber, Benzoin, Peru balsam, Sandalwood, Tolu balm, Vetiver	Jean-Paul Guerlain
Chamade Homme	Guerlain	1999	NA	8.1	200	Spicy, Floral, Woody, Leathery, Green	Black pepper, Italian bergamot	Violet leaf, Hyacinth, Nutmeg	Vetiver, Leather, Precious woods	Jean-Paul Guerlain
Chambre Noire	Olfactive Studio	2011	NA	7.7	446	Leathery, Spicy, Woody, Smoky, Sweet	Pink pepper	Plum, Frankincense, Papyrus, Jasmine, Violet	Leather, Patchouli, Sandalwood, Vanilla, Musk	Dorothée Piot, Robertet
Chameleon	Zoologist	2019	NA	7.4	178	Floral, Fruity, Sweet, Fresh, Woody	Madagascan ylang-ylang, Mango, Violet leaf, Bergamot, Lemon, Pink pepper, Starfruit	Coconut, Frangipani, Cashmeran, Jasmine, Sea breeze, Sensual skin accord, Clove, Saffron	Musk, Sandalwood, Vanilla, Amber, Opoponax, Patchouli, Vetiver, Woods	Daniel Pescio
Champaca Absolute	Tom Ford	2009	NA	7.6	201	Floral, Woody, Sweet, Spicy, Fruity	Cognac, Tokaji wine, Bergamot, Davana, Green notes	Champaca flower, Orchid, Broom, Jasmine, Violet	Marron glacé, Vanilla, Amber, Sandalwood	NA
Champaca Ormonde Jayne 2002 Eau de Parfum	Ormonde Jayne	2002	Eau de Parfum	7.1	98	Floral, Fresh, Green, Sweet, Spicy	Pink pepper, Bamboo, Neroli	Basmati rice, Champaca absolute, Freesia absolute	Musk, Myrrh, Green tea	Geza Schön
Champagne	Bharara	2006	NA	7.4	131	Fresh, Citrus, Floral, Creamy, Synthetic	Italian bergamot, Italian mandarin orange, Blackcurrant	Jasminum auriculatum, Lily of the valley, African orange blossom	Musk, White amber, Vetiver, Rancid Oil	NA
Champion Davidoff 2010 Eau de Toilette	Davidoff	2010	Eau de Toilette	5.7	287	Fresh, Citrus, Synthetic, Woody, Spicy	Bergamot, Lemon	Clary sage, Galbanum	Cedar, Oakmoss	Aurélien Guichard
Champion Energy Davidoff 2011 Eau de Toilette	Davidoff	2011	Eau de Toilette	5.8	101	Fresh, Citrus, Synthetic, Woody, Spicy	Bergamot, Grapefruit	Galbanum, Spices	Virginia cedar, Oakmoss	Aurélien Guichard
Champs de Provence	Eight & Bob	2017	NA	6.6	57	Citrus, Fresh, Green, Floral, Spicy	Bergamot, Orange, Pear	Orange blossom, Jasmine absolute, Rose absolute	Moss, Ambroxan, Maté	NA
Champs-Élysées Guerlain 1996 Eau de Parfum	Guerlain	1996	Eau de Parfum	8.3	158	Floral, Fruity, Sweet, Fresh, Powdery	Violet, Aniseed, Peach, Almond, Blackcurrant, Melon	Lilac, Peony, Lily of the valley, Mimosa, Rose, Hibiscus	Benzoin, Sandalwood, Vanilla, Cedar	Olivier Cresp
Champs-Élysées Guerlain 1996 Eau de Toilette	Guerlain	1996	Eau de Toilette	7.5	332	Floral, Fruity, Fresh, Sweet, Powdery	Violet, Aniseed, Peach, Almond, Blackcurrant, Melon	Lilac, Peony, Lily of the valley, Mimosa, Rose, Hibiscus	Benzoin, Sandalwood, Vanilla, Cedar	Olivier Cresp
Chance Chanel 2002 Eau de Parfum	Chanel	2002	Eau de Parfum	7.2	591	Floral, Fresh, Fruity, Citrus, Sweet	Pink pepper, Iris, Hyacinth, Pineapple	Citrus fruits, Jasmine	Musk, Patchouli, Vanilla, Vetiver	Jacques Polge
Chance Chanel 2002 Eau de Toilette	Chanel	2002	Eau de Toilette	8.1	190	Floral, Fresh, Fruity, Citrus, Woody	Pink pepper, Iris, Hyacinth, Pineapple	Citrus fruits, Jasmine	Musk, Patchouli, Vanilla, Vetiver	Jacques Polge
