freq,unit,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC_EMP,HU3	2.5 	2.4 	2.4 	2.3 	2.0 	2.2 	2.6 	2.3 b
A,PC_EMP,HU31	2.4 	2.2 	2.2 	2.5 	1.8 	1.8 	2.4 	2.4 b
A,PC_EMP,HU32	2.4 	2.1 	2.1 	2.0 	2.0 	2.1 	2.4 	2.0 b
A,PC_EMP,HU33	2.5 	2.9 	2.8 	2.5 	2.2 	2.6 	2.9 	2.6 b
A,PC_EMP,IE	4.0 	3.8 	3.9 	3.6 b	3.5 	3.3 	3.3 	3.1 b
A,PC_EMP,IE0	4.0 	3.8 	3.9 	3.6 b	3.5 	3.3 	3.3 	3.1 b
A,PC_EMP,IE04	2.5 	2.7 	2.6 	2.4 b	2.6 	2.5 	2.5 	2.3 b
A,PC_EMP,IE05	3.0 	3.0 	2.9 	2.8 b	2.5 	2.4 	2.4 	2.5 b
A,PC_EMP,IE06	5.1 	4.6 	4.9 	4.5 b	4.5 	4.2 	4.0 	3.7 b
A,PC_EMP,IS	6.1 	6.3 	6.5 	5.9 	5.6 	5.6 	5.7 b	5.8 b
A,PC_EMP,IS0	6.1 	6.3 	6.5 	5.9 	5.6 	5.6 	5.7 b	5.8 b
A,PC_EMP,IS00	6.1 	6.3 	6.5 	5.9 	5.6 	5.6 	5.7 b	5.8 b
A,PC_EMP,IT	3.6 	3.6 	3.5 	3.6 b	3.6 	3.6 	3.5 	3.4 b
A,PC_EMP,ITC	4.1 	4.2 	4.0 	4.0 b	4.1 	4.2 	3.8 	3.8 b
A,PC_EMP,ITC1	3.5 	3.7 	3.3 	4.0 b	4.2 	4.0 	3.3 	3.5 b
A,PC_EMP,ITC2	4.0 u	3.2 u	3.2 u	3.4 bu	3.3 u	3.4 u	3.2 u	2.9 bu
A,PC_EMP,ITC3	2.5 	2.8 	3.4 	3.2 b	2.8 	3.4 	3.0 	2.7 b
A,PC_EMP,ITC4	4.6 	4.6 	4.4 	4.1 b	4.3 	4.3 	4.1 	4.0 b
A,PC_EMP,ITF	2.4 	2.4 	2.4 	2.5 b	2.6 	2.4 	2.3 	2.2 b
A,PC_EMP,ITF1	2.5 	2.5 	2.1 	2.6 b	2.9 	2.9 	2.8 	2.5 b
A,PC_EMP,ITF2	1.5 u	2.6 	2.5 	2.5 b	3.4 	2.8 	2.1 u	2.2 bu
A,PC_EMP,ITF3	2.4 	2.3 	2.7 	2.7 b	2.7 	2.4 	2.5 	2.6 b
A,PC_EMP,ITF4	2.4 	2.2 	2.2 	2.3 b	2.3 	2.3 	2.2 	1.8 b
A,PC_EMP,ITF5	2.5 	2.8 	2.4 	2.3 b	2.5 	2.4 	3.2 	2.9 b
A,PC_EMP,ITF6	2.3 	2.6 	2.2 	2.3 b	2.6 	2.3 	1.3 	1.6 b
A,PC_EMP,ITG	2.5 	2.5 	2.3 	2.4 b	2.3 	2.3 	2.4 	2.5 b
A,PC_EMP,ITG1	2.4 	2.4 	2.2 	2.4 b	2.4 	2.3 	2.6 	2.5 b
A,PC_EMP,ITG2	2.6 	2.7 	2.5 	2.5 b	2.3 	2.2 	2.0 	2.3 b
A,PC_EMP,ITH	3.7 	3.8 	3.8 	3.4 b	3.5 	3.6 	3.4 	3.5 b
A,PC_EMP,ITH1	4.0 	3.9 	3.5 	2.9 b	3.0 	2.7 	3.0 	3.2 b
A,PC_EMP,ITH2	3.7 	3.6 	3.9 	4.4 b	4.2 	4.6 	4.8 	4.3 b
A,PC_EMP,ITH3	3.3 	3.5 	3.8 	3.5 b	3.4 	3.8 	3.5 	3.9 b
A,PC_EMP,ITH4	3.5 	3.1 	3.0 	2.9 b	3.1 	3.3 	2.7 	3.3 b
A,PC_EMP,ITH5	4.0 	4.3 	4.0 	3.5 b	3.6 	3.4 	3.2 	3.0 b
A,PC_EMP,ITI	4.3 	4.3 	4.2 	4.5 b	4.2 	4.2 	4.5 	4.3 b
A,PC_EMP,ITI1	4.1 	4.1 	4.1 	4.5 b	4.0 	4.0 	4.3 	4.2 b
A,PC_EMP,ITI2	3.3 	3.2 	3.5 	4.3 b	3.8 	3.0 	3.4 	3.5 b
A,PC_EMP,ITI3	2.8 	3.5 	3.6 	3.8 b	3.2 	3.6 	4.2 	3.5 b
A,PC_EMP,ITI4	4.9 	4.8 	4.4 	4.7 b	4.7 	4.7 	4.8 	4.7 b
